                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 2.0271,                 2.2872,                 2.4324,                0.40957,                0.41646,                0.36336,                0.14618,                 2.0664,                 2.2848,                 2.5304,              0.0011486,              0.0011486,              0.0011486
                     46,                 2.0111,                 2.2525,                 2.3983,                0.47384,                0.41646,                0.41095,                0.17005,                  2.053,                 2.1045,                 2.4691,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.9986,                 2.2429,                 2.3748,                0.41591,                0.37342,                0.31859,                0.11652,                   2.15,                 2.3868,                  2.619,               0.001109,               0.001109,               0.001109
                     48,                 1.9768,                 2.1853,                 2.3542,                0.46589,                0.43544,                0.42747,                0.17864,                 2.0244,                 2.2249,                 2.4619,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.9883,                 2.2093,                 2.3686,                0.48268,                0.39367,                0.43011,                 0.1816,                 1.9827,                 2.1028,                 2.4287,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.9447,                 2.1707,                  2.311,                0.47327,                 0.4443,                0.43639,                0.17769,                 2.0148,                 2.1776,                 2.4451,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.9366,                 2.1561,                 2.3357,                0.38076,                0.36456,                0.32504,                0.13138,                 2.0533,                 2.3547,                   2.48,              0.0010298,              0.0010298,              0.0010298
                     52,                  1.947,                 2.1591,                  2.307,                0.47154,                0.43924,                0.43164,                0.18813,                 1.9746,                 2.1586,                 2.3976,                0.00101,                0.00101,                0.00101
                     53,                 1.9411,                 2.1423,                 2.3044,                0.51376,                0.50691,                0.47295,                0.19999,                 1.9345,                 2.0814,                 2.3755,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.9086,                 2.1245,                 2.2886,                0.48752,                    0.4,                0.40197,                0.16738,                 1.9632,                 2.1489,                 2.4009,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.9247,                 2.0978,                 2.2671,                0.52067,                0.47215,                0.47306,                0.20156,                 1.9362,                 2.0069,                 2.3594,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.9036,                 2.1106,                 2.2889,                0.48604,                0.43291,                0.43129,                0.19447,                  1.904,                 2.0947,                 2.3569,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.9326,                 2.1337,                 2.2848,                0.49524,                0.44684,                0.44443,                0.19251,                  1.906,                 2.0779,                 2.3572,               0.000911,               0.000911,               0.000911
                     58,                 1.8799,                 2.1076,                 2.2747,                0.49128,                0.43924,                0.43607,                0.17356,                 1.9539,                 2.1248,                 2.3645,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.8284,                 2.0772,                 2.2274,                0.46418,                0.37342,                0.36753,                0.14599,                  1.987,                 2.3106,                 2.4357,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.8994,                 2.2095,                 2.3004,                0.50735,                0.42911,                0.45293,                0.20242,                 1.9442,                 2.2377,                 2.3525,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.8758,                 2.0574,                 2.2335,                0.52814,                0.44488,                0.47503,                0.19899,                  1.958,                 2.0872,                 2.3746,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.8778,                 2.0793,                 2.2519,                0.54567,                 0.4443,                 0.4722,                0.20493,                 1.8872,                  2.098,                 2.3524,               0.000812,               0.000812,               0.000812
                     63,                 1.8626,                 2.0276,                  2.231,                0.56318,                0.48228,                0.50798,                0.21654,                 1.8659,                 1.9957,                    2.3,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.8563,                 2.0341,                 2.2179,                0.56207,                0.46835,                0.48815,                0.21169,                 1.8622,                 1.9864,                 2.3014,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.8091,                 1.9774,                 2.1765,                0.58564,                0.45949,                0.50058,                0.22905,                 1.8226,                 1.9992,                 2.2441,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.8421,                  2.017,                  2.179,                0.50516,                 0.4807,                0.49308,                0.22279,                 1.8484,                 1.9386,                 2.2494,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.7944,                 1.9729,                 2.1855,                0.55621,                0.49339,                0.50608,                0.22885,                 1.8583,                 1.9147,                 2.2872,               0.000713,               0.000713,               0.000713
                     68,                 1.7897,                 2.0054,                 2.1633,                0.57097,                0.48517,                0.51517,                 0.2393,                 1.8112,                 1.9262,                 2.2437,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.7982,                 1.9567,                 2.1626,                0.54268,                0.43038,                0.45953,                0.20991,                  1.882,                 2.0774,                  2.343,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.8012,                 1.9664,                  2.161,                0.51846,                 0.4962,                0.49332,                0.19922,                 1.8816,                 1.9645,                 2.3015,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.8281,                 1.9697,                 2.1723,                0.58424,                0.51584,                0.54542,                0.24607,                 1.8339,                 1.8822,                 2.2548,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.7728,                 1.9193,                 2.1496,                0.54713,                0.50506,                0.52541,                0.24176,                 1.8149,                 1.8997,                  2.222,               0.000614,               0.000614,               0.000614
                     73,                 1.7667,                 1.9263,                 2.1505,                0.54741,                0.48101,                0.52772,                 0.2382,                 1.8221,                 1.8665,                 2.2216,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.7813,                 1.8985,                  2.149,                0.57558,                0.49747,                0.54288,                0.25051,                 1.8152,                 1.8927,                 2.2095,              0.0005744,              0.0005744,              0.0005744
                     75,                  1.748,                  1.938,                 2.1352,                 0.5119,                0.48861,                0.49054,                0.22125,                 1.8332,                 1.9941,                 2.2461,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.7923,                 1.9457,                 2.1435,                 0.5713,                0.53306,                0.54046,                0.24819,                 1.8018,                 1.8518,                 2.1994,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.7557,                 1.8859,                 2.1269,                0.60304,                0.51519,                0.54308,                0.24273,                 1.8059,                 1.8645,                 2.1989,               0.000515,               0.000515,               0.000515
                     78,                 1.7475,                 1.9039,                  2.094,                0.58723,                0.50506,                 0.5389,                0.25331,                 1.7836,                  1.846,                 2.1996,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.7191,                 1.8312,                 2.0711,                0.62187,                0.50379,                0.57046,                 0.2708,                 1.7882,                 1.7602,                 2.1851,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.7844,                 1.9373,                 2.1531,                0.55149,                0.51392,                0.54605,                0.26415,                 1.7302,                 1.8004,                 2.1424,              0.0004556,              0.0004556,              0.0004556
